证券代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期
430017,星昊医药,122288200,121417900,2023-05-31,医药制造业,北京市,2025-05-23
430047,诺思兰德,274271974,180106427,2020-11-24,医药制造业,北京市,2025-05-23
430090,同辉信息,199333546,135347400,2021-08-09,软件和信息技术服务业,北京市,2025-05-23
430139,华岭股份,269507392,260631945,2022-10-28,计算机、通信和其他电子设备制造业,上海市,2025-05-23
430198,微创光电,161363872,70244378,2020-07-27,计算机、通信和其他电子设备制造业,湖北省,2025-05-23
430300,辰光医疗,85847126,66531656,2022-12-07,专用设备制造业,上海市,2025-05-23
430418,苏轴股份,135408000,129996924,2020-07-27,通用设备制造业,江苏省,2025-05-23
430425,乐创技术,50668963,42295213,2023-01-30,软件和信息技术服务业,四川省,2025-05-23
430476,海能技术,85179800,80629983,2022-10-14,仪器仪表制造业,山东省,2025-05-23
430478,峆一药业,56220500,33718622,2023-02-23,医药制造业,安徽省,2025-05-23
430510,丰光精密,184213929,94907078,2020-12-28,通用设备制造业,山东省,2025-05-23
430556,雅达股份,161315200,118165939,2023-03-17,仪器仪表制造业,广东省,2025-05-23
430564,天润科技,74391018,33782457,2022-06-17,软件和信息技术服务业,陕西省,2025-05-23
430685,新芝生物,91515941,54791080,2022-10-10,仪器仪表制造业,浙江省,2025-05-23
430718,合肥高科,90666700,41489069,2022-12-22,电气机械和器材制造业,安徽省,2025-05-23
830779,武汉蓝电,80074720,20033202,2023-06-01,仪器仪表制造业,湖北省,2025-05-23
830809,安达科技,600450411,320582738,2023-03-23,计算机、通信和其他电子设备制造业,贵州省,2025-05-23
830832,齐鲁华信,138763865,122520083,2021-02-23,化学原料和化学制品制造业,山东省,2025-05-23
830839,万通液压,119215000,65901375,2020-11-09,通用设备制造业,山东省,2025-05-23
830879,基康仪器,166966331,134841998,2022-12-20,仪器仪表制造业,北京市,2025-05-23
830896,旺成科技,101224240,44401810,2023-04-19,通用设备制造业,重庆市,2025-05-23
830946,森萱医药,426918340,426787090,2020-07-27,医药制造业,江苏省,2025-05-23
830964,润农节水,261208000,132357378,2020-07-27,土木工程建筑业,河北省,2025-05-23
830974,凯大催化,163800000,128772918,2023-03-08,化学原料和化学制品制造业,浙江省,2025-05-23
831010,凯添燃气,234500000,173668103,2020-07-27,燃气生产和供应业,宁夏回族自治区,2025-05-23
831039,国义招标,153820000,153819900,2021-08-18,专业技术服务业,广东省,2025-05-23
831087,秋乐种业,165200000,160624725,2022-12-07,农、林、牧、渔专业及辅助性活动,河南省,2025-05-23
831152,昆工科技,111341700,82161225,2022-09-01,专用设备制造业,云南省,2025-05-23
831167,鑫汇科,49982941,28985936,2022-05-27,计算机、通信和其他电子设备制造业,广东省,2025-05-23
831175,派诺科技,79610000,49945529,2023-12-14,软件和信息技术服务业,广东省,2025-05-23
831195,三祥科技,98030000,70758985,2022-12-30,橡胶和塑料制品业,山东省,2025-05-23
831278,泰德股份,155526000,97510916,2022-06-20,汽车制造业,山东省,2025-05-23
831304,迪尔化工,162288000,78828854,2023-04-18,化学原料和化学制品制造业,山东省,2025-05-23
831305,海希通讯,140260000,110090256,2021-11-05,仪器仪表制造业,上海市,2025-05-23
831370,新安洁,306280000,267559069,2020-07-27,公共设施管理业,重庆市,2025-05-23
831396,许昌智能,165575000,145118432,2024-01-26,电气机械和器材制造业,河南省,2025-05-23
831526,凯华材料,82700000,52367486,2022-12-22,计算机、通信和其他电子设备制造业,天津市,2025-05-23
831627,XD力王股,94450000,46817500,2023-09-07,电气机械和器材制造业,广东省,2025-05-23
